ἐπορεύοντο V1I-IMI3P- πορεύομαι
οἱ RA--NPM--- ὁ
τροχοὶ N2--NPM--- τροχός
ἐχόμενοι V1--PMPNPM ἔχω
αὐτῶν RD--GPN--- αὐτός
καὶ C--------- καί
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ἐξαίρειν V1--PAN--- αἴρω ἐκ
τὰ RA--APN--- ὁ
ζῷα N2N-APN--- ζῷον
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
ἐξῄροντο V1I-IMI3P- αἴρω ἐκ
οἱ RA--NPM--- ὁ
τροχοί N2--NPM--- τροχός

Ezek 1:20
οὗ RR--GSM--- ὅς
ἂν X--------- ἄν
ἦν V9--IAI3S- εἰμί
ἡ RA--NSF--- ὁ
νεφέλη N1--NSF--- νεφέλη
ἐκεῖ D--------- ἐκεῖ
τὸ RA--NSN--- ὁ
πνεῦμα N3M-NSN--- πνεῦμα
τοῦ RA--GSN--- ὁ
πορεύεσθαι V1--PMN--- πορεύομαι
ἐπορεύοντο V1I-IMI3P- πορεύομαι
τὰ RA--NPN--- ὁ
ζῷα N2N-NPN--- ζῷον
καὶ C--------- καί
οἱ RA--NPM--- ὁ
τροχοὶ N2--NPM--- τροχός
καὶ C--------- καί
ἐξῄροντο V1I-IMI3P- αἴρω ἐκ
σὺν P--------- σύν
αὐτοῖς RD--DPM--- αὐτός
διότι C--------- διότι
πνεῦμα N3M-NSN--- πνεῦμα
ζωῆς N1--GSF--- ζωή
ἦν V9--IAI3S- εἰμί
ἐν P--------- ἐν
τοῖς RA--DPM--- ὁ
τροχοῖς N2--DPM--- τροχός

Ezek 1:21
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
πορεύεσθαι V1--PMN--- πορεύομαι
αὐτὰ RD--APN--- αὐτός
ἐπορεύοντο V1I-IMI3P- πορεύομαι
καὶ C--------- καί
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ἑστάναι VXI-XAN--- ἵστημι
αὐτὰ RD--APN--- αὐτός
εἱστήκεισαν VXI-YAI3P- ἵστημι
καὶ C--------- καί
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ἐξαίρειν V1--PAN--- αἴρω ἐκ
αὐτὰ RD--APN--- αὐτός
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
ἐξῄροντο V1I-IMI3P- αἴρω ἐκ
σὺν P--------- σύν
αὐτοῖς RD--DPN--- αὐτός
ὅτι C--------- ὅτι
πνεῦμα N3M-NSN--- πνεῦμα
ζωῆς N1--GSF--- ζωή
ἦν V9--IAI3S- εἰμί
ἐν P--------- ἐν
τοῖς RA--DPM--- ὁ
τροχοῖς N2--DPM--- τροχός

Ezek 1:22
καὶ C--------- καί
